New Tripoli tab-delimited output of processed data for:
23-PP-5 z30 Pb-2399 in New Session-23-PP-5 z30 Pb-2399-report.tsv
produced on: 03/19/26 07:54:24

Data is presented by cycles.
Any discarded values are wrapped in &s.
Any missing values are represented as a blank entry.

Cycle            	Time             	204Pb            	205Pb            	206Pb            	207Pb            	208Pb            	204/205          	206/205          	207/205          	208/205          	206/207          	206/208          	207/208          	206/204          	207/204          	208/204          	alpha 204/206    	alpha 207/206    	alpha 208/206
29.0             	1700.171         	55.79440056      	103150.5112      	531210.6537      	26581.27451      	117276.4491      	5.409028022E-4   	5.149859632      	0.2576940647     	1.136944914      	19.98439366      	4.529559497      	0.2266548375     	9520.85959       	476.4147341      	2101.939404      	1.0              	-82.23951592     	370.6732511
30.0             	1736.077         	54.77089701      	102905.0929      	529982.3537      	26520.69459      	116826.1696      	5.322467086E-4   	5.150205287      	0.2577199421     	1.135280735      	19.98372825      	4.536503727      	0.2270098787     	9676.349716      	484.2114341      	2132.997193      	1.0              	-82.24070791     	370.6310118
31.0             	2016.248         	54.85633183      	104718.9466      	539755.4342      	27068.38659      	119030.2299      	5.238434269E-4   	5.154324522      	0.2584860474     	1.136663744      	19.94043614      	4.534608013      	0.2274076646     	9839.437238      	493.4414257      	2169.853978      	1.0              	-82.25490079     	369.3843385
32.0             	2052.138         	54.50510198      	104422.1769      	537909.3188      	26996.4965       	118768.1334      	5.21968643E-4    	5.151293861      	0.2585322131     	1.137384193      	19.92515284      	4.529071087      	0.2273042081     	9868.971882      	495.3021922      	2179.027817      	1.0              	-82.24446082     	369.3094496
33.0             	2088.036         	54.37052703      	104047.047       	536166.2847      	26912.19777      	118544.7044      	5.225571371E-4   	5.153113903      	0.2586541237     	1.139337519      	19.92279818      	4.52290372       	0.2270215097     	9861.340583      	494.9776882      	2180.311851      	1.0              	-82.25073194     	369.111818
34.0             	2123.926         	55.18470054      	103644.2667      	534389.3121      	26809.20707      	117752.5955      	5.324433495E-4   	5.155994913      	0.2586656061     	1.136122616      	19.93305175      	4.538238073      	0.2276740225     	9683.649759      	485.8086899      	2133.790604      	1.0              	-82.26064968     	369.0932132
35.0             	2159.816         	56.13886281      	103128.9851      	532527.8593      	26763.08643      	117328.5944      	5.443558156E-4   	5.163706969      	0.2595108096     	1.13768786       	19.89784925      	4.538773024      	0.2281036994     	9485.903928      	476.7301132      	2089.970985      	1.0              	-82.28714361     	367.7282641
36.0             	2195.706         	56.33095352      	102863.7288      	530733.3872      	26713.78548      	116680.4942      	5.476269835E-4   	5.159577563      	0.2597007302     	1.134321063      	19.86739721      	4.548604211      	0.2289481688     	9421.700753      	474.2292437      	2071.33888       	1.0              	-82.27296733     	367.422777
37.0             	2231.598         	53.87461487      	102423.6091      	528899.6352      	26636.24571      	116612.5498      	5.259980128E-4   	5.163844935      	0.2600596281     	1.138531934      	19.85638821      	4.53552929       	0.2284166305     	9817.232782      	494.4118073      	2164.517558      	1.0              	-82.28761685     	366.8467085
38.0             	2267.486         	53.77262248      	102175.3234      	527383.0707      	26488.45157      	116415.7764      	5.26277977E-4    	5.161550297      	0.2592450966     	1.139372723      	19.90992449      	4.530168394      	0.2275331781     	9807.650182      	492.6010737      	2164.963712      	1.0              	-82.27974257     	368.1564143
