z,n,symbol,% abundance,half_life annum,atomic_mass AMU
72,83,Hf, ,843,154.963167
72,84,Hf, ,23,155.959399083
72,85,Hf, ,115,156.958288
72,86,Hf, ,2.85,157.954801217
72,87,Hf, ,5.6,158.953995837
72,88,Hf, ,13.6,159.950682728
72,89,Hf, ,18.4,160.950277927
72,90,Hf, ,39.4,161.947215526
72,91,Hf, ,40,162.947107211
72,92,Hf, ,111,163.944370709
72,93,Hf, ,76,164.944567
72,94,Hf, ,6.77,165.94218
72,95,Hf, ,2.05,166.9426
72,96,Hf, ,25.95,167.940568
72,97,Hf, ,3.24,168.941259
72,98,Hf, ,16.01,169.939609
72,99,Hf, ,12.1,170.940492
72,100,Hf, ,1.87,171.939449716
72,101,Hf, ,23.6,172.940513
72,102,Hf,0.16,2000000000000000,173.940048377
72,103,Hf, ,70,174.941511424
72,104,Hf,5.26,STABLE,175.941409797
72,105,Hf,18.6,STABLE,176.943230187
72,106,Hf,27.28,STABLE,177.943708322
72,107,Hf,13.62,STABLE,178.945825705
72,108,Hf,35.08,STABLE,179.946559537
72,109,Hf, ,42.39,180.949110834
72,110,Hf, ,8900000,181.950563684
72,111,Hf, ,1.018,182.953533203
72,112,Hf, ,4.12,183.955448507
72,113,Hf, ,3.5,184.958862
72,114,Hf, ,2.6,185.960897
72,115,Hf, , ,186.964573
72,116,Hf, , ,187.966903
72,117,Hf, , ,188.970853
72,118,Hf, , ,189.973376
73,82,Ta, ,2.9,154.974248
73,83,Ta, ,106,155.972087
73,84,Ta, ,10.1,156.968227445
73,85,Ta, ,55,157.966593
73,86,Ta, ,0.83,158.963028046
73,87,Ta, ,1.55,159.961541678
73,88,Ta, , ,160.958369489
73,89,Ta, ,3.57,161.957292907
73,90,Ta, ,10.6,162.954337194
73,91,Ta, ,14.2,163.953534
73,92,Ta, ,31,164.950780287
73,93,Ta, ,34.4,165.950512
73,94,Ta, ,80,166.948093
73,95,Ta, ,2,167.948047
73,96,Ta, ,4.9,168.946011
73,97,Ta, ,6.76,169.946175
73,98,Ta, ,23.3,170.944476
73,99,Ta, ,36.8,171.944895
73,100,Ta, ,3.14,172.94375
73,101,Ta, ,1.14,173.944454
73,102,Ta, ,10.5,174.943737
73,103,Ta, ,8.09,175.944857
73,104,Ta, ,56.36,176.94448194
73,105,Ta, ,2.36,177.94568
73,106,Ta, ,1.82,178.94593905
73,107,Ta, ,8.154,179.947467589
73,108,Ta,99.98799,STABLE,180.947998528
73,109,Ta, ,114.74,181.950154612
73,110,Ta, ,5.1,182.95137538
73,111,Ta, ,8.7,183.954009958
73,112,Ta, ,49.4,184.955561317
73,113,Ta, ,10.5,185.958553036
73,114,Ta, , ,186.960391
73,115,Ta, ,19.6,187.963596
73,116,Ta, , ,188.96569
73,117,Ta, ,5.3,189.969168
73,118,Ta, ,300,190.97153
73,119,Ta, ,2.2,191.975201
73,120,Ta, , ,192.97766
73,121,Ta, , ,193.98161
74,83,W, ,275,156.978862
74,84,W, ,1.25,157.974565
74,85,W, ,7.3,158.972696
74,86,W, ,91,159.968513946
74,87,W, ,409,160.967249
74,88,W, ,1.19,161.963500341
74,89,W, ,2.67,162.962524251
74,90,W, ,6.3,163.958952445
74,91,W, ,5.1,164.958280663
74,92,W, ,19.2,165.955031952
74,93,W, ,19.9,166.95481108
74,94,W, ,50.9,167.951805459
74,95,W, ,74,168.951778689
74,96,W, ,2.42,169.949231235
74,97,W, ,2.38,170.949451
74,98,W, ,6.6,171.947292
74,99,W, ,7.6,172.947689
74,100,W, ,33.2,173.946079
74,101,W, ,35.2,174.946717
74,102,W, ,2.5,175.945634
74,103,W, ,132.4,176.946643
74,104,W, ,21.6,177.945885791
74,105,W, ,37.05,178.947079378
74,106,W,0.12,1.8E+018,179.946713304
74,107,W, ,121.2,180.948218733
74,108,W,26.5,STABLE,181.948205636
74,109,W,14.31,6.7E+020,182.950224416
74,110,W,30.64,STABLE,183.95093318
74,111,W, ,75.1,184.953421206
74,112,W,28.43,STABLE,185.95436514
74,113,W, ,24,186.957161249
74,114,W, ,69.78,187.958488325
74,115,W, ,11.6,188.961557
74,116,W, ,30,189.963103542
74,118,W, , ,191.968202
74,119,W, , ,192.971884
74,120,W, , ,193.973795
74,121,W, ,160,194.977735
74,122,W, ,160,195.979882
74,123,W, ,160,196.984036
75,84,Re, , ,158.984106
75,85,Re, ,612,159.98188
75,86,Re, ,0.44,160.977624313
75,87,Re, ,107,161.975896
75,88,Re, ,390,162.972085434
75,89,Re, ,0.7,163.970507122
75,90,Re, ,1.6,164.967085831
75,91,Re, ,2.25,165.965821216
75,92,Re, ,5.9,166.962604
75,93,Re, ,4.4,167.961572607
75,94,Re, ,8.1,168.958765979
75,95,Re, ,9.2,169.958234844
75,96,Re, ,15.2,170.955716
75,97,Re, ,15,171.955376165
75,98,Re, ,1.98,172.953243
75,99,Re, ,2.4,173.953115
75,100,Re, ,5.89,174.951381
75,101,Re, ,5.3,175.951623
75,102,Re, ,14,176.950328
75,103,Re, ,13.2,177.950989
75,104,Re, ,19.5,178.949989686
75,105,Re, ,2.46,179.950791568
75,106,Re, ,19.9,180.950061507
75,107,Re, ,64.2,181.95121156
75,108,Re, ,70,182.950821306
75,109,Re, ,35.4,183.952528073
75,110,Re,37.4,STABLE,184.95295832
75,111,Re, ,3.7183,185.954989172
75,112,Re,62.6,43300000000,186.955752217
75,113,Re, ,17.005,187.958113658
75,114,Re, ,24.3,188.959227764
75,115,Re, ,3,189.961800064
75,116,Re, ,9.8,190.963123322
75,117,Re, ,16,191.966088
75,118,Re, , ,192.967545
75,119,Re, ,5,193.970735
75,120,Re, ,6,194.97256
75,121,Re, ,3,195.975996
75,122,Re, ,160,196.978153
75,123,Re, ,160,197.98176
75,124,Re, ,160,198.984187
76,85,Os, ,0.64,160.989054
76,86,Os, ,2.1,161.984434
76,87,Os, ,5.5,162.982462
76,88,Os, ,21,163.978073158
76,89,Os, ,71,164.976654
76,90,Os, ,213,165.972698135
76,91,Os, ,0.81,166.971552304
76,92,Os, ,2.1,167.96779905
76,93,Os, ,3.43,168.967017521
76,94,Os, ,7.37,169.963579273
76,95,Os, ,8.3,170.963180402
76,96,Os, ,19.2,171.960017309
76,97,Os, ,22.4,172.959808387
76,98,Os, ,44,173.957063192
76,99,Os, ,1.4,174.956945126
76,100,Os, ,3.6,175.954770315
76,101,Os, ,3,176.954957902
76,102,Os, ,5,177.953253334
76,103,Os, ,6.5,178.953815985
76,104,Os, ,21.5,179.952381665
76,105,Os, ,105,180.953247188
76,106,Os, ,21.84,181.952110154
76,107,Os, ,13,182.953125028
76,108,Os,0.02,56000000000000,183.952492919
76,109,Os, ,93.6,184.954045969
76,110,Os,1.59,2000000000000000,185.953837569
76,111,Os,1.96,STABLE,186.955749569
76,112,Os,13.24,STABLE,187.955837292
76,113,Os,16.15,STABLE,188.958145949
76,114,Os,26.26,STABLE,189.958445442
76,115,Os, ,15.4,190.960928105
76,116,Os,40.78,STABLE,191.961478765
76,117,Os, ,29.83,192.964149637
76,118,Os, ,6,193.965179407
76,119,Os, ,6.5,194.968318
76,120,Os, ,34.9,195.969643261
76,121,Os, ,2.8,196.973076
76,122,Os, , ,197.974664
76,123,Os, ,5,198.978239
76,124,Os, ,6,199.980086
76,125,Os, ,160,200.984069
76,126,Os, ,160,201.986548
76,127,Os, , ,202.992195
77,87,Ir, , ,163.991966
77,88,Ir, ,1,164.987552
77,89,Ir, ,10.5,165.985716
77,90,Ir, ,35.2,166.981671973
77,91,Ir, ,222,167.979960978
77,92,Ir, ,0.353,168.976281743
77,93,Ir, ,0.87,169.975113
77,94,Ir, ,3.2,170.97164552
77,95,Ir, ,4.4,171.970607035
77,96,Ir, ,9,172.967505477
77,97,Ir, ,7.9,173.966949939
77,98,Ir, ,9,174.964149519
77,99,Ir, ,8.7,175.963626261
77,100,Ir, ,29.8,176.9613015
77,101,Ir, ,12,177.961079395
77,102,Ir, ,79,178.959117594
77,103,Ir, ,1.5,179.959229446
77,104,Ir, ,4.9,180.957634691
77,105,Ir, ,15,181.958076296
77,106,Ir, ,58,182.956841231
77,107,Ir, ,3.09,183.957476
77,108,Ir, ,14.4,184.956698
77,109,Ir, ,16.64,185.957946754
77,110,Ir, ,10.5,186.957542
77,111,Ir, ,41.5,187.958834999
77,112,Ir, ,13.2,188.958722602
77,113,Ir, ,11.78,189.960543374
77,114,Ir,37.3,STABLE,190.960591455
77,115,Ir, ,73.829,191.962602414
77,116,Ir,62.7,STABLE,192.962923753
77,117,Ir, ,19.18,193.965075703
77,118,Ir, ,2.29,194.965976898
77,119,Ir, ,52,195.968399669
77,120,Ir, ,5.8,196.969657217
77,121,Ir, ,8,197.972399
77,122,Ir, ,6,198.973807097
77,123,Ir, ,300,199.976844
77,124,Ir, ,300,200.978701
77,125,Ir, ,11,201.982136
77,126,Ir, , ,202.984573
77,127,Ir, ,160,203.989726
77,128,Ir, , ,204.993988
78,87,Pt, ,0.26,164.999658
78,88,Pt, ,300,165.994866
78,89,Pt, ,0.7,166.99275
78,90,Pt, ,2.02,167.988180196
78,91,Pt, ,7,168.986619
78,92,Pt, ,13.8,169.982502087
78,93,Pt, ,45.5,170.981248868
78,94,Pt, ,97.6,171.977341059
78,95,Pt, ,382,172.976449922
78,96,Pt, ,0.889,173.972820431
78,97,Pt, ,2.53,174.972400593
78,98,Pt, ,6.33,175.968938162
78,99,Pt, ,10,176.968469541
78,100,Pt, ,20.7,177.965649288
78,101,Pt, ,21.2,178.965358742
78,102,Pt, ,56,179.96303801
78,103,Pt, ,52,180.963089946
78,104,Pt, ,2.67,181.961171605
78,105,Pt, ,6.5,182.961595895
78,106,Pt, ,17.3,183.959921929
78,107,Pt, ,70.9,184.960613659
78,108,Pt, ,2.08,185.959350845
78,109,Pt, ,2.35,186.960616646
78,110,Pt, ,10.16,187.959397521
78,111,Pt, ,10.87,188.960848485
78,112,Pt,0.012,497000000000,189.959949823
78,113,Pt, ,2.83,190.961676261
78,114,Pt,0.782,STABLE,191.961042667
78,115,Pt, ,50,192.962984546
78,116,Pt,32.864,STABLE,193.962683498
78,117,Pt,33.775,STABLE,194.964794325
78,118,Pt,25.211,STABLE,195.964954648
78,119,Pt, ,19.8915,196.96734303
78,120,Pt,7.356,STABLE,197.967896718
78,121,Pt, ,30.8,198.970597022
78,122,Pt, ,12.6,199.971444609
78,123,Pt, ,2.5,200.974513305
78,124,Pt, ,44,201.975639
78,125,Pt, ,22,202.979055
78,126,Pt, ,10.3,203.981084
78,127,Pt, , ,204.986237
78,128,Pt, ,160,205.99008
78,129,Pt, ,160,206.995556
78,130,Pt, ,160,207.999463
79,91,Au, ,0.29,169.996024
79,92,Au, ,22,170.991881533
79,93,Au, ,22,171.989996704
79,94,Au, ,26.3,172.986224263
79,95,Au, ,120,173.984908
79,96,Au, , ,174.981316375
79,97,Au, , ,175.980116925
79,98,Au, ,1.501,176.976869701
79,99,Au, ,2.6,177.976056714
79,100,Au, ,7.1,178.973173666
79,101,Au, ,8.4,179.972489738
79,102,Au, ,13.7,180.970079102
79,103,Au, ,15.5,181.969614433
79,104,Au, ,42.8,182.967588106
79,105,Au, ,20.6,183.967451523
79,106,Au, ,4.25,184.965798871
79,107,Au, ,10.7,185.965952703
79,108,Au, ,8.3,186.964542147
79,109,Au, ,8.84,187.965247966
79,110,Au, ,28.7,188.963948286
79,111,Au, ,42.8,189.964751746
79,112,Au, ,3.18,190.963716452
79,113,Au, ,4.94,191.964817615
79,114,Au, ,17.65,192.964138442
79,115,Au, ,38.02,193.965419051
79,116,Au, ,186.01,194.965037823
79,117,Au, ,6.1669,195.966571213
79,118,Au,100,STABLE,196.966570103
79,119,Au, ,2.6941,197.968243714
79,120,Au, ,3.139,198.968766573
79,121,Au, ,48.4,199.970756558
79,122,Au, ,26,200.971657678
79,123,Au, ,28.4,201.973856
79,124,Au, ,60,202.975154492
79,125,Au, ,39.8,203.97811
79,126,Au, ,32,204.980064
79,127,Au, ,40,205.984766
79,128,Au, ,300,206.988577
79,129,Au, ,300,207.993655
79,130,Au, ,300,208.997606
79,131,Au, ,300,210.002877
80,90,Hg, ,0.08,170.005814
80,91,Hg, ,59,171.003585
80,92,Hg, ,231,171.998860581
80,93,Hg, ,0.8,172.997143
80,94,Hg, ,2.1,173.992870575
80,95,Hg, ,10.6,174.991444451
80,96,Hg, ,20.3,175.98734867
80,97,Hg, ,117,176.98628459
80,98,Hg, ,266.5,177.982484756
80,99,Hg, ,1.05,178.981821759
80,100,Hg, ,2.59,179.97826018
80,101,Hg, ,3.6,180.977819368
80,102,Hg, ,10.83,181.974689173
80,103,Hg, ,9.4,182.974444652
80,104,Hg, ,30.87,183.971717709
80,105,Hg, ,49.1,184.971890696
80,106,Hg, ,1.38,185.969362061
80,107,Hg, ,1.9,186.96981354
80,108,Hg, ,3.25,187.967580738
80,109,Hg, ,7.6,188.968194776
80,110,Hg, ,20,189.96632225
80,111,Hg, ,49,190.967158301
80,112,Hg, ,4.85,191.965634263
80,113,Hg, ,3.8,192.966653395
80,114,Hg, ,447,193.965449108
80,115,Hg, ,10.53,194.966705809
80,116,Hg,0.15,STABLE,195.965833445
80,117,Hg, ,64.14,196.967213715
80,118,Hg,10.04,STABLE,197.966769177
80,119,Hg,16.94,STABLE,198.968280994
80,120,Hg,23.14,STABLE,199.968326941
80,121,Hg,13.17,STABLE,200.970303054
80,122,Hg,29.74,STABLE,201.970643604
80,123,Hg, ,46.61,202.972872396
80,124,Hg,6.82,STABLE,203.973494037
80,125,Hg, ,5.14,204.976073151
80,126,Hg, ,8.32,205.977513837
80,127,Hg, ,2.9,206.9823
80,128,Hg, ,41,207.985759
80,129,Hg, ,36,208.990757
80,130,Hg, , ,209.99431
80,131,Hg, ,300,210.999581
80,132,Hg, , ,212.003242
80,133,Hg, ,300,213.008803
80,134,Hg, , ,214.012636
80,135,Hg, ,300,215.018368
80,136,Hg, ,300,216.022459
81,95,Tl, ,5.2,176.000627731
81,96,Tl, ,18,176.996414252
81,97,Tl, ,254,177.995047
81,98,Tl, ,0.23,178.991122185
81,99,Tl, ,1.09,179.98991895
81,100,Tl, ,3.2,180.986259978
81,101,Tl, ,3.1,181.985692649
81,102,Tl, ,6.9,182.982192843
81,103,Tl, ,10.1,183.981874973
81,104,Tl, ,19.5,184.978789189
81,105,Tl, ,27.5,185.978654787
81,106,Tl, ,51,186.97590474
81,107,Tl, ,71,187.976020886
81,108,Tl, ,2.3,188.973573525
81,109,Tl, ,2.6,189.973841771
81,110,Tl, , ,190.971784093
81,111,Tl, ,9.6,191.972225
81,112,Tl, ,21.6,192.970501994
81,113,Tl, ,33,193.971081408
81,114,Tl, ,1.16,194.969774052
81,115,Tl, ,1.84,195.970481189
81,116,Tl, ,2.84,196.969560492
81,117,Tl, ,5.3,197.970446669
81,118,Tl, ,7.42,198.969877
81,119,Tl, ,26.1,199.970963608
81,120,Tl, ,3.0421,200.970820235
81,121,Tl, ,12.31,201.972108874
81,122,Tl,29.515,STABLE,202.972344098
81,123,Tl, ,3.783,203.97386342
81,124,Tl,70.485,STABLE,204.974427318
81,125,Tl, ,4.202,205.976110108
81,126,Tl, ,4.77,206.977418605
81,127,Tl, ,3.053,207.982018006
81,128,Tl, ,2.162,208.985351713
81,129,Tl, ,1.3,209.990072942
81,130,Tl, ,88,210.993475
81,131,Tl, ,30.9,211.998335
81,132,Tl, ,46,213.001915
81,133,Tl, ,11,214.00694
81,134,Tl, ,300,215.010768
81,135,Tl, ,300,216.015964
81,136,Tl, , ,217.020032
82,96,Pb, ,0.12,178.003836171
82,97,Pb, ,3.5,179.002202492
82,98,Pb, ,4.1,179.997916177
82,99,Pb, ,45,180.9966606
82,100,Pb, ,55,181.992673537
82,101,Pb, ,535,182.991862527
82,102,Pb, ,490,183.988135634
82,103,Pb, ,6.3,184.98761
82,104,Pb, ,4.82,185.984239409
82,105,Pb, ,15.2,186.983910842
82,106,Pb, ,25.5,187.980879079
82,107,Pb, ,39,188.980843658
82,108,Pb, ,71,189.978081872
82,109,Pb, ,1.33,190.978216455
82,110,Pb, ,3.5,191.975789598
82,111,Pb, , ,192.976135914
82,112,Pb, ,10.7,193.974011788
82,113,Pb, ,15,194.974516167
82,114,Pb, ,37,195.972787552
82,115,Pb, ,8.1,196.973434737
82,116,Pb, ,2.4,197.97201545
82,117,Pb, ,90,198.97291262
82,118,Pb, ,21.5,199.971818546
82,119,Pb, ,9.33,200.972870431
82,120,Pb, ,52500,201.972151613
82,121,Pb, ,51.92,202.973390617
82,122,Pb,1.4,1.4E+017,203.973043506
82,123,Pb, ,17000000,204.974481682
82,124,Pb,24.1,STABLE,205.97446521
82,125,Pb,22.1,STABLE,206.975896821
82,126,Pb,52.4,STABLE,207.976652005
82,127,Pb, ,3.234,208.981089978
82,128,Pb, ,22.2,209.984188381
82,129,Pb, ,36.1,210.988735288
82,130,Pb, ,10.622,211.991895891
82,131,Pb, ,10.2,212.996560796
82,132,Pb, ,27.06,213.999803521
82,133,Pb, ,147,215.004661591
82,134,Pb, ,300,216.008062
82,135,Pb, ,19.9,217.013162
82,136,Pb, ,15,218.016779
82,137,Pb, , ,219.022136
82,138,Pb, ,300,220.025905
83,101,Bi, ,13,184.001347
83,102,Bi, ,58,184.9976
83,103,Bi, ,15,185.996623169
83,104,Bi, ,37,186.993147272
83,105,Bi, ,60,187.992276064
83,106,Bi, ,688,188.989195139
83,107,Bi, ,6.3,189.988624828
83,108,Bi, ,12.4,190.985786972
83,109,Bi, ,34.6,191.985470077
83,110,Bi, ,63.6,192.98294722
83,111,Bi, ,95,193.982798581
83,112,Bi, ,183,194.980648759
83,113,Bi, ,308,195.980666509
83,114,Bi, ,9.33,196.978864927
83,115,Bi, ,10.3,197.979201316
83,116,Bi, ,27,198.977672841
83,117,Bi, ,36.4,199.97813129
83,118,Bi, ,103,200.976995017
83,119,Bi, ,1.71,201.977723042
83,120,Bi, ,11.76,202.976892077
83,121,Bi, ,11.22,203.977835687
83,122,Bi, ,14.91,204.977385182
83,123,Bi, ,6.243,205.978498843
83,124,Bi, ,31.55,206.978470551
83,125,Bi, ,368000,207.97974206
83,126,Bi,100,2.01E+019,208.980398599
83,127,Bi, ,5.012,209.984120237
83,128,Bi, ,2.14,210.987268715
83,129,Bi, ,60.55,211.99128503
83,130,Bi, ,45.59,212.99438357
83,131,Bi, ,19.71,213.998710909
83,132,Bi, ,7.6,215.001749095
83,133,Bi, ,2.25,216.006305985
83,134,Bi, ,98.5,217.009372
83,135,Bi, ,33,218.014188
83,136,Bi, ,22,219.01752
83,137,Bi, ,300,220.022501
83,138,Bi, ,300,221.02598
83,139,Bi, ,300,222.031079
83,140,Bi, ,300,223.034611
83,141,Bi, ,300,224.039796
84,102,Po, ,28,186.004403174
84,103,Po, ,1.4,187.003031482
84,104,Po, ,0.27,187.999415586
84,105,Po, ,3.5,188.998473425
84,106,Po, ,2.45,189.995101731
84,107,Po, ,22,190.994558494
84,108,Po, ,32.2,191.991340274
84,109,Po, ,399,192.991062421
84,110,Po, ,0.392,193.988186058
84,111,Po, ,4.64,194.988065781
84,112,Po, ,5.8,195.985540722
84,113,Po, ,84,196.985621939
84,114,Po, ,1.76,197.983388753
84,115,Po, ,5.47,198.983640445
84,116,Po, ,11.51,199.981812355
84,117,Po, ,15.6,200.982263799
84,118,Po, ,44.6,201.980738934
84,119,Po, ,36.7,202.981416072
84,120,Po, ,3.519,203.980310078
84,121,Po, ,1.74,204.981190006
84,122,Po, ,8.8,205.980473662
84,123,Po, ,5.8,206.981593334
84,124,Po, ,2.898,207.981246035
84,125,Po, ,124,208.982430361
84,126,Po, ,138.376,209.982873686
84,127,Po, ,0.516,210.986653171
84,128,Po, ,294.3,211.988867982
84,129,Po, ,3.72,212.992857154
84,130,Po, ,163.46,213.995201287
84,131,Po, ,1.781,214.999418385
84,132,Po, ,0.145,216.001913416
84,133,Po, ,1.53,217.006316145
84,134,Po, ,3.097,218.008971234
84,135,Po, ,620,219.013614
84,136,Po, ,300,220.016386
84,137,Po, ,112,221.021228
84,138,Po, ,550,222.02414
84,139,Po, ,300,223.02907
84,140,Po, ,300,224.03211
84,141,Po, ,300,225.037123
84,142,Po, ,300,226.04031
84,143,Po, ,300,227.04539
85,106,At, ,1.7,191.004148081
85,107,At, ,88,192.003140912
85,108,At, ,28,192.999927725
85,109,At, ,286,193.999230816
85,110,At, ,290,194.99627448
85,111,At, ,0.388,195.995799034
85,112,At, ,0.388,196.993177353
85,113,At, ,4.2,197.992797864
85,114,At, ,7.03,198.990527715
85,115,At, ,43,199.990351099
85,116,At, ,85.2,200.988417058
85,117,At, ,184,201.988625686
85,118,At, ,7.4,202.986942904
85,119,At, ,9.12,203.987251393
85,120,At, ,26.9,204.986060546
85,121,At, ,30.6,205.986645768
85,122,At, ,1.81,206.985799715
85,123,At, ,1.63,207.986613011
85,124,At, ,5.42,208.986168701
85,125,At, ,8.1,209.987147423
85,126,At, ,7.214,210.987496226
85,127,At, ,0.314,211.990737301
85,128,At, ,125,212.992936593
85,129,At, ,558,213.996372331
85,130,At, ,0.1,214.998651002
85,131,At, ,0.3,216.002422643
85,132,At, ,32.6,217.004717794
85,133,At, ,1.28,218.008695941
85,134,At, ,56,219.011160587
85,135,At, ,3.71,220.015433
85,136,At, ,2.3,221.018017
85,137,At, ,54,222.022494
85,138,At, ,50,223.025151
85,139,At, ,1.3,224.029749
85,140,At, ,300,225.032528
85,141,At, ,300,226.037209
85,142,At, ,300,227.040183
85,143,At, ,300,228.04496
85,144,At, ,300,229.048191
86,107,Rn, ,1.15,193.009707973
86,108,Rn, ,0.78,194.006145636
86,109,Rn, ,6,195.005421703
86,110,Rn, ,4.4,196.002120431
86,111,Rn, ,65,197.001621446
86,112,Rn, ,65,197.998679197
86,113,Rn, ,0.59,198.998325436
86,114,Rn, ,1.03,199.995705335
86,115,Rn, ,7,200.995590511
86,116,Rn, ,9.7,201.993263982
86,117,Rn, ,44.2,202.993361155
86,118,Rn, ,74.5,203.991443729
86,119,Rn, ,170,204.991723228
86,120,Rn, ,5.67,205.990195409
86,121,Rn, ,9.25,206.990730224
86,122,Rn, ,24.35,207.989634513
86,123,Rn, ,28.8,208.990401389
86,124,Rn, ,2.4,209.989688862
86,125,Rn, ,14.6,210.990600767
86,126,Rn, ,23.9,211.990703946
86,127,Rn, ,19.5,212.993885147
86,128,Rn, ,259,213.99536265
86,129,Rn, ,2.3,214.998745037
86,130,Rn, ,45,216.000271942
86,131,Rn, ,0.54,217.003927632
86,132,Rn, ,33.75,218.005601123
86,133,Rn, ,3.96,219.009478683
86,134,Rn, ,55.6,220.011392443
86,135,Rn, ,25,221.015535637
86,136,Rn, ,3.8235,222.017576017
86,137,Rn, ,24.3,223.021889283
86,138,Rn, ,107,224.024095803
86,139,Rn, ,4.66,225.028485572
86,140,Rn, ,7.4,226.03086138
86,141,Rn, ,20.2,227.035304393
86,142,Rn, ,65,228.037835415
86,143,Rn, ,12,229.042257272
87,110,Fr, ,0.6,197.011008086
87,111,Fr, ,15,198.010282081
87,112,Fr, ,12,199.007269384
87,113,Fr, ,49,200.006584666
87,114,Fr, ,62,201.003852491
87,115,Fr, ,0.3,202.003329637
87,116,Fr, ,0.55,203.000940867
87,117,Fr, ,1.8,204.000651972
87,118,Fr, ,3.9,204.998593854
87,119,Fr, ,16,205.998661441
87,120,Fr, ,14.8,206.99694145
87,121,Fr, ,59.1,207.997139082
87,122,Fr, ,50.5,208.995939701
87,123,Fr, ,3.18,209.996410596
87,124,Fr, ,3.1,210.995555189
87,125,Fr, ,20,211.99622542
87,126,Fr, ,34.82,212.99618441
87,127,Fr, ,5.5,213.998971193
87,128,Fr, ,86,215.000341534
87,129,Fr, ,0.7,216.003189523
87,130,Fr, ,22,217.00463198
87,131,Fr, ,1.1,218.00757862
87,132,Fr, ,24,219.009250664
87,133,Fr, ,27.4,220.012326789
87,134,Fr, ,4.9,221.014253714
87,135,Fr, ,14.2,222.017582615
87,136,Fr, ,22,223.019734241
87,137,Fr, ,3.33,224.023348096
87,138,Fr, ,3.95,225.025572466
87,139,Fr, ,49,226.029544512
87,140,Fr, ,2.47,227.031865413
87,141,Fr, ,38,228.035839433
87,142,Fr, ,50.2,229.038291443
87,143,Fr, ,19.1,230.042390787
87,144,Fr, ,17.6,231.045175353
87,145,Fr, ,5.5,232.049461219
87,146,Fr, ,0.9,233.052517833
88,113,Ra, ,1.6,201.012814699
88,114,Ra, ,16,202.009742305
88,115,Ra, ,31,203.009233907
88,116,Ra, ,57,204.006506855
88,117,Ra, ,210,205.006230692
88,118,Ra, ,0.24,206.003827842
88,119,Ra, ,1.35,207.00377242
88,120,Ra, ,1.3,208.001855012
88,121,Ra, ,4.8,209.001994902
88,122,Ra, ,3.7,210.000475406
88,123,Ra, ,13,211.000893049
88,124,Ra, ,13,211.999786619
88,125,Ra, ,2.73,213.000370971
88,126,Ra, ,2.438,214.00009956
88,127,Ra, ,1.66,215.002718208
88,128,Ra, ,182,216.003533534
88,129,Ra, ,1.6,217.006322676
88,130,Ra, ,25.91,218.007134297
88,131,Ra, ,9,219.010084715
88,132,Ra, ,18,220.011027542
88,133,Ra, ,28,221.013917293
88,134,Ra, ,38,222.015373371
88,135,Ra, ,11.43,223.018500648
88,136,Ra, ,3.6319,224.020210361
88,137,Ra, ,14.9,225.023610502
88,138,Ra, ,1600,226.025408186
88,139,Ra, ,42.2,227.029176205
88,140,Ra, ,5.75,228.031068574
88,141,Ra, ,4,229.034956703
88,142,Ra, ,93,230.037054776
88,143,Ra, ,104,231.041027085
88,144,Ra, ,4.2,232.043475267
88,145,Ra, ,30,233.04759457
88,146,Ra, ,30,234.0503821
89,116,Ac, ,20,205.015144152
89,117,Ac, ,22,206.014476477
89,118,Ac, ,27,207.011965967
89,119,Ac, ,95,208.011552251
89,120,Ac, ,0.087,209.009495375
89,121,Ac, ,0.35,210.009408625
89,122,Ac, ,0.21,211.007668846
89,123,Ac, ,880,212.007836442
89,124,Ac, ,738,213.006592665
89,125,Ac, ,8.2,214.0069064
89,126,Ac, ,0.17,215.006474061
89,127,Ac, ,440,216.008749101
89,128,Ac, ,69,217.009342325
89,129,Ac, ,1.03,218.01164886
89,130,Ac, ,11.8,219.012420425
89,131,Ac, ,26.4,220.014754527
89,132,Ac, ,52,221.015599721
89,133,Ac, ,5,222.017844232
89,134,Ac, ,2.1,223.019135982
89,135,Ac, ,2.78,224.021722249
89,136,Ac, ,9.92,225.023228601
89,137,Ac, ,29.37,226.026096999
89,138,Ac, ,21.772,227.027750594
89,139,Ac, ,6.15,228.031019685
89,140,Ac, ,62.7,229.032947
89,141,Ac, ,122,230.036327
89,142,Ac, ,7.5,231.038393
89,143,Ac, ,119,232.042034
89,144,Ac, ,143,233.044346
89,145,Ac, ,44,234.048139
89,146,Ac, ,62,235.05084
89,147,Ac, ,1.2,236.054988
90,118,Th, ,1.7,208.017915348
90,119,Th, ,2.5,209.017601
90,120,Th, ,16,210.015093515
90,121,Th, ,37,211.014896923
90,122,Th, ,31.7,212.01300157
90,123,Th, ,144,213.01301147
90,124,Th, ,87,214.01148148
90,125,Th, ,1.2,215.01172464
90,126,Th, ,26,216.011055933
90,127,Th, ,0.252,217.013103443
90,128,Th, ,122,218.013276248
90,129,Th, ,1.025,219.015526432
90,130,Th, ,9.7,220.015769866
90,131,Th, ,1.74,221.018185757
90,132,Th, ,2.24,222.01846822
90,133,Th, ,0.6,223.020811083
90,134,Th, ,1.04,224.021466137
90,135,Th, ,8.75,225.023950975
90,136,Th, ,30.57,226.024903699
90,137,Th, ,18.697,227.027702546
90,138,Th, ,1.9116,228.028739741
90,139,Th, ,7880,229.031761357
90,140,Th,0.02,75400,230.033132267
90,141,Th, ,25.52,231.036302764
